1	1
2	2
3	3
4	5
5	6
6	7
7	—
8	—
9	—
10	—
11	—
12	—
13	—
14	9
15	—
16	11
17	12
18	14
19	15
20	17
21	18
22	20
23	21
24	22
25	23
26	25
27	26
28	—
29	28,29
30	30
31	31
32	32
33	—
34	34
35	35
36	36
37	37
38	38
39	39
40	42
41	44
42	—
43	46
44	47
45	48
46	50
47	52
48	53
49	—
50	55
51	56
52	58
53	62
54	63
55	64
56	65
57	66
58	67
59	68
60	69
61	70
62	71
63	72
64	73
65	74
66	75
67	76
68	77
69	78
70	79
71	80
72	81
73	82
74	83
75	84
76	85
77	86
78	87
79	88
80	89
81	90
82	91
83	92
84	93
85	94
86	95
87	96
88	98
89	100
90	101
91	103
92	105
93	106
94	107
95	108
96	109
97	110
98	111
99	112
100	114
101	115
102	116
103	117
104	118
105	119
106	121
107	122
108	123
