1	1
2	2
3	3
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30	31
31	32
32	33
33	34
34	35
35	36
36	37
37	39
38	—
39	40
40	42
41	42
42	44
43	45
44	46
45	47
46	48
47	49
48	50
49	51
50	52
51	53
52	54
53	55
54	56
55	57
56	58
57	59
58	60
59	62
60	63
61	64
62	—
63	—
64	65
65	66
66	67
67	68
68	—
69	69,70
70	74
71	75
72	76
73	77
74	78
75	79
76	80
77	81
78	82
79	83
80	84
81	85
82	86
83	87
84	88
85	89
86	90
87	91
88	92,93
89	94
90	95
91	96
92	97
93	98
94	99
95	100
96	101
